Date: 2024-11-10 | Time: 04:56:00 | Transition: surprise -> surprise | Duration: 1.9s | Scores: {'angry': 0.39, 'disgust': 0.12, 'fear': 0.29, 'happy': 0.76, 'sad': 0.23, 'surprise': 0.71, 'neutral': 0.78}
Date: 2024-11-21 | Time: 03:23:00 | Transition: neutral -> disgust | Duration: 1.89s | Scores: {'angry': 0.31, 'disgust': 0.09, 'fear': 0.26, 'happy': 0.18, 'sad': 0.13, 'surprise': 0.4, 'neutral': 0.36}
Date: 2024-11-21 | Time: 10:18:00 | Transition: fear -> surprise | Duration: 1.72s | Scores: {'angry': 0.18, 'disgust': 0.27, 'fear': 0.14, 'happy': 0.79, 'sad': 0.27, 'surprise': 0.66, 'neutral': 0.64}
Date: 2024-11-21 | Time: 17:11:00 | Transition: sad -> surprise | Duration: 0.88s | Scores: {'angry': 0.18, 'disgust': 0.27, 'fear': 0.17, 'happy': 0.8, 'sad': 0.27, 'surprise': 0.52, 'neutral': 0.6}
Date: 2024-11-21 | Time: 18:43:00 | Transition: neutral -> happy | Duration: 1.04s | Scores: {'angry': 0.1, 'disgust': 0.23, 'fear': 0.06, 'happy': 0.62, 'sad': 0.19, 'surprise': 0.69, 'neutral': 0.53}
Date: 2024-11-21 | Time: 19:01:00 | Transition: fear -> happy | Duration: 1.3s | Scores: {'angry': 0.2, 'disgust': 0.06, 'fear': 0.18, 'happy': 0.54, 'sad': 0.11, 'surprise': 0.62, 'neutral': 0.85}
Date: 2024-11-21 | Time: 22:44:00 | Transition: happy -> surprise | Duration: 1.25s | Scores: {'angry': 0.3, 'disgust': 0.22, 'fear': 0.2, 'happy': 0.55, 'sad': 0.12, 'surprise': 0.6, 'neutral': 0.64}
Date: 2024-11-22 | Time: 01:11:00 | Transition: surprise -> happy | Duration: 1.29s | Scores: {'angry': 0.31, 'disgust': 0.23, 'fear': 0.19, 'happy': 0.75, 'sad': 0.2, 'surprise': 0.52, 'neutral': 0.57}
Date: 2024-11-22 | Time: 03:26:00 | Transition: angry -> surprise | Duration: 0.24s | Scores: {'angry': 0.4, 'disgust': 0.08, 'fear': 0.19, 'happy': 0.75, 'sad': 0.26, 'surprise': 0.73, 'neutral': 0.81}
Date: 2024-11-22 | Time: 03:47:00 | Transition: surprise -> surprise | Duration: 0.47s | Scores: {'angry': 0.34, 'disgust': 0.28, 'fear': 0.12, 'happy': 0.69, 'sad': 0.14, 'surprise': 0.77, 'neutral': 0.53}
Date: 2024-11-22 | Time: 04:43:00 | Transition: angry -> happy | Duration: 1.48s | Scores: {'angry': 0.06, 'disgust': 0.15, 'fear': 0.09, 'happy': 0.83, 'sad': 0.11, 'surprise': 0.65, 'neutral': 0.71}
Date: 2024-11-22 | Time: 05:53:00 | Transition: fear -> neutral | Duration: 0.74s | Scores: {'angry': 0.38, 'disgust': 0.27, 'fear': 0.06, 'happy': 0.61, 'sad': 0.15, 'surprise': 0.79, 'neutral': 0.68}
Date: 2024-11-22 | Time: 06:28:00 | Transition: neutral -> neutral | Duration: 0.2s | Scores: {'angry': 0.3, 'disgust': 0.27, 'fear': 0.12, 'happy': 0.51, 'sad': 0.17, 'surprise': 0.87, 'neutral': 0.88}
Date: 2024-11-22 | Time: 14:55:00 | Transition: angry -> happy | Duration: 1.24s | Scores: {'angry': 0.3, 'disgust': 0.12, 'fear': 0.11, 'happy': 0.67, 'sad': 0.17, 'surprise': 0.89, 'neutral': 0.6}
Date: 2024-11-22 | Time: 17:02:00 | Transition: disgust -> surprise | Duration: 1.78s | Scores: {'angry': 0.16, 'disgust': 0.25, 'fear': 0.16, 'happy': 0.89, 'sad': 0.07, 'surprise': 0.72, 'neutral': 0.84}
Date: 2024-11-22 | Time: 17:29:00 | Transition: happy -> neutral | Duration: 1.46s | Scores: {'angry': 0.06, 'disgust': 0.18, 'fear': 0.27, 'happy': 0.53, 'sad': 0.27, 'surprise': 0.74, 'neutral': 0.68}
Date: 2024-11-22 | Time: 18:09:00 | Transition: disgust -> happy | Duration: 0.94s | Scores: {'angry': 0.14, 'disgust': 0.13, 'fear': 0.08, 'happy': 0.75, 'sad': 0.25, 'surprise': 0.64, 'neutral': 0.53}
Date: 2024-11-22 | Time: 18:31:00 | Transition: sad -> happy | Duration: 1.73s | Scores: {'angry': 0.18, 'disgust': 0.2, 'fear': 0.15, 'happy': 0.75, 'sad': 0.27, 'surprise': 0.82, 'neutral': 0.59}
Date: 2024-11-22 | Time: 21:42:00 | Transition: angry -> neutral | Duration: 0.47s | Scores: {'angry': 0.1, 'disgust': 0.06, 'fear': 0.05, 'happy': 0.73, 'sad': 0.19, 'surprise': 0.64, 'neutral': 0.9}
Date: 2024-11-22 | Time: 22:22:00 | Transition: sad -> happy | Duration: 1.72s | Scores: {'angry': 0.18, 'disgust': 0.21, 'fear': 0.14, 'happy': 0.81, 'sad': 0.07, 'surprise': 0.56, 'neutral': 0.64}
Date: 2024-11-23 | Time: 02:18:00 | Transition: sad -> surprise | Duration: 1.61s | Scores: {'angry': 0.34, 'disgust': 0.25, 'fear': 0.08, 'happy': 0.65, 'sad': 0.21, 'surprise': 0.8, 'neutral': 0.57}
Date: 2024-11-23 | Time: 05:22:00 | Transition: sad -> surprise | Duration: 0.38s | Scores: {'angry': 0.37, 'disgust': 0.29, 'fear': 0.29, 'happy': 0.64, 'sad': 0.23, 'surprise': 0.63, 'neutral': 0.68}
Date: 2024-11-23 | Time: 09:41:00 | Transition: happy -> neutral | Duration: 1.37s | Scores: {'angry': 0.29, 'disgust': 0.06, 'fear': 0.27, 'happy': 0.83, 'sad': 0.18, 'surprise': 0.81, 'neutral': 0.7}
Date: 2024-11-23 | Time: 10:35:00 | Transition: neutral -> neutral | Duration: 0.85s | Scores: {'angry': 0.29, 'disgust': 0.12, 'fear': 0.15, 'happy': 0.67, 'sad': 0.09, 'surprise': 0.84, 'neutral': 0.69}
Date: 2024-11-23 | Time: 10:40:00 | Transition: angry -> happy | Duration: 0.37s | Scores: {'angry': 0.3, 'disgust': 0.2, 'fear': 0.1, 'happy': 0.58, 'sad': 0.11, 'surprise': 0.74, 'neutral': 0.86}
Date: 2024-11-23 | Time: 12:31:00 | Transition: angry -> happy | Duration: 0.56s | Scores: {'angry': 0.24, 'disgust': 0.17, 'fear': 0.18, 'happy': 0.59, 'sad': 0.21, 'surprise': 0.79, 'neutral': 0.73}
Date: 2024-11-23 | Time: 13:40:00 | Transition: angry -> angry | Duration: 0.86s | Scores: {'angry': 0.19, 'disgust': 0.14, 'fear': 0.24, 'happy': 0.08, 'sad': 0.19, 'surprise': 0.29, 'neutral': 0.3}
Date: 2024-11-23 | Time: 13:43:00 | Transition: angry -> happy | Duration: 1.28s | Scores: {'angry': 0.32, 'disgust': 0.24, 'fear': 0.27, 'happy': 0.68, 'sad': 0.18, 'surprise': 0.55, 'neutral': 0.59}
Date: 2024-11-23 | Time: 13:46:00 | Transition: neutral -> happy | Duration: 1.97s | Scores: {'angry': 0.19, 'disgust': 0.2, 'fear': 0.2, 'happy': 0.73, 'sad': 0.16, 'surprise': 0.73, 'neutral': 0.79}
Date: 2024-11-23 | Time: 15:24:00 | Transition: neutral -> happy | Duration: 1.67s | Scores: {'angry': 0.25, 'disgust': 0.24, 'fear': 0.26, 'happy': 0.62, 'sad': 0.17, 'surprise': 0.56, 'neutral': 0.76}
Date: 2024-11-23 | Time: 17:01:00 | Transition: disgust -> surprise | Duration: 1.73s | Scores: {'angry': 0.32, 'disgust': 0.18, 'fear': 0.27, 'happy': 0.73, 'sad': 0.1, 'surprise': 0.51, 'neutral': 0.9}
Date: 2024-11-23 | Time: 17:22:00 | Transition: sad -> happy | Duration: 1.4s | Scores: {'angry': 0.21, 'disgust': 0.13, 'fear': 0.16, 'happy': 0.81, 'sad': 0.07, 'surprise': 0.72, 'neutral': 0.7}
Date: 2024-11-24 | Time: 00:55:00 | Transition: angry -> fear | Duration: 1.61s | Scores: {'angry': 0.09, 'disgust': 0.2, 'fear': 0.1, 'happy': 0.13, 'sad': 0.23, 'surprise': 0.35, 'neutral': 0.13}
Date: 2024-11-24 | Time: 01:31:00 | Transition: fear -> disgust | Duration: 1.88s | Scores: {'angry': 0.09, 'disgust': 0.19, 'fear': 0.23, 'happy': 0.09, 'sad': 0.27, 'surprise': 0.25, 'neutral': 0.26}
Date: 2024-11-24 | Time: 03:08:00 | Transition: fear -> surprise | Duration: 0.38s | Scores: {'angry': 0.18, 'disgust': 0.23, 'fear': 0.22, 'happy': 0.79, 'sad': 0.07, 'surprise': 0.74, 'neutral': 0.88}
Date: 2024-11-24 | Time: 04:48:00 | Transition: surprise -> neutral | Duration: 0.25s | Scores: {'angry': 0.33, 'disgust': 0.15, 'fear': 0.19, 'happy': 0.79, 'sad': 0.25, 'surprise': 0.8, 'neutral': 0.65}
Date: 2024-11-24 | Time: 08:29:00 | Transition: fear -> surprise | Duration: 1.3s | Scores: {'angry': 0.2, 'disgust': 0.16, 'fear': 0.12, 'happy': 0.67, 'sad': 0.2, 'surprise': 0.73, 'neutral': 0.74}
Date: 2024-11-24 | Time: 08:53:00 | Transition: happy -> neutral | Duration: 1.09s | Scores: {'angry': 0.26, 'disgust': 0.15, 'fear': 0.19, 'happy': 0.76, 'sad': 0.2, 'surprise': 0.85, 'neutral': 0.86}
Date: 2024-11-24 | Time: 10:14:00 | Transition: neutral -> surprise | Duration: 1.81s | Scores: {'angry': 0.31, 'disgust': 0.21, 'fear': 0.29, 'happy': 0.82, 'sad': 0.1, 'surprise': 0.63, 'neutral': 0.74}
Date: 2024-11-24 | Time: 10:23:00 | Transition: angry -> surprise | Duration: 1.48s | Scores: {'angry': 0.35, 'disgust': 0.09, 'fear': 0.1, 'happy': 0.83, 'sad': 0.29, 'surprise': 0.65, 'neutral': 0.69}
Date: 2024-11-24 | Time: 11:24:00 | Transition: surprise -> surprise | Duration: 0.65s | Scores: {'angry': 0.18, 'disgust': 0.13, 'fear': 0.13, 'happy': 0.59, 'sad': 0.24, 'surprise': 0.82, 'neutral': 0.67}
Date: 2024-11-24 | Time: 13:03:00 | Transition: fear -> surprise | Duration: 1.09s | Scores: {'angry': 0.37, 'disgust': 0.2, 'fear': 0.17, 'happy': 0.64, 'sad': 0.13, 'surprise': 0.89, 'neutral': 0.82}
Date: 2024-11-24 | Time: 13:53:00 | Transition: disgust -> neutral | Duration: 1.56s | Scores: {'angry': 0.37, 'disgust': 0.26, 'fear': 0.15, 'happy': 0.58, 'sad': 0.23, 'surprise': 0.86, 'neutral': 0.76}
Date: 2024-11-24 | Time: 15:08:00 | Transition: angry -> disgust | Duration: 1.83s | Scores: {'angry': 0.09, 'disgust': 0.14, 'fear': 0.22, 'happy': 0.05, 'sad': 0.1, 'surprise': 0.16, 'neutral': 0.07}
Date: 2024-11-24 | Time: 20:31:00 | Transition: disgust -> disgust | Duration: 0.39s | Scores: {'angry': 0.08, 'disgust': 0.12, 'fear': 0.1, 'happy': 0.09, 'sad': 0.22, 'surprise': 0.06, 'neutral': 0.28}
Date: 2024-11-24 | Time: 21:16:00 | Transition: happy -> happy | Duration: 0.45s | Scores: {'angry': 0.35, 'disgust': 0.16, 'fear': 0.13, 'happy': 0.81, 'sad': 0.24, 'surprise': 0.77, 'neutral': 0.78}
Date: 2024-11-24 | Time: 21:36:00 | Transition: disgust -> surprise | Duration: 1.15s | Scores: {'angry': 0.12, 'disgust': 0.26, 'fear': 0.14, 'happy': 0.54, 'sad': 0.29, 'surprise': 0.78, 'neutral': 0.58}
Date: 2024-11-24 | Time: 21:59:00 | Transition: happy -> surprise | Duration: 0.63s | Scores: {'angry': 0.21, 'disgust': 0.08, 'fear': 0.11, 'happy': 0.68, 'sad': 0.2, 'surprise': 0.61, 'neutral': 0.54}
Date: 2024-11-24 | Time: 23:02:00 | Transition: surprise -> angry | Duration: 1.82s | Scores: {'angry': 0.09, 'disgust': 0.29, 'fear': 0.23, 'happy': 0.33, 'sad': 0.24, 'surprise': 0.12, 'neutral': 0.33}
Date: 2024-11-24 | Time: 23:30:00 | Transition: surprise -> happy | Duration: 1.14s | Scores: {'angry': 0.36, 'disgust': 0.06, 'fear': 0.1, 'happy': 0.81, 'sad': 0.08, 'surprise': 0.72, 'neutral': 0.58}
Date: 2024-11-25 | Time: 01:11:00 | Transition: sad -> surprise | Duration: 1.48s | Scores: {'angry': 0.12, 'disgust': 0.12, 'fear': 0.19, 'happy': 0.73, 'sad': 0.27, 'surprise': 0.89, 'neutral': 0.66}
Date: 2024-11-25 | Time: 03:49:00 | Transition: neutral -> fear | Duration: 1.79s | Scores: {'angry': 0.13, 'disgust': 0.18, 'fear': 0.22, 'happy': 0.12, 'sad': 0.09, 'surprise': 0.22, 'neutral': 0.14}
Date: 2024-11-25 | Time: 07:38:00 | Transition: surprise -> neutral | Duration: 1.83s | Scores: {'angry': 0.11, 'disgust': 0.27, 'fear': 0.09, 'happy': 0.82, 'sad': 0.12, 'surprise': 0.73, 'neutral': 0.76}
Date: 2024-11-25 | Time: 08:52:00 | Transition: happy -> happy | Duration: 0.6s | Scores: {'angry': 0.14, 'disgust': 0.14, 'fear': 0.05, 'happy': 0.89, 'sad': 0.15, 'surprise': 0.79, 'neutral': 0.5}
Date: 2024-11-25 | Time: 10:17:00 | Transition: angry -> neutral | Duration: 1.97s | Scores: {'angry': 0.14, 'disgust': 0.18, 'fear': 0.13, 'happy': 0.61, 'sad': 0.24, 'surprise': 0.83, 'neutral': 0.81}
Date: 2024-11-25 | Time: 12:57:00 | Transition: sad -> surprise | Duration: 1.46s | Scores: {'angry': 0.33, 'disgust': 0.26, 'fear': 0.28, 'happy': 0.67, 'sad': 0.17, 'surprise': 0.66, 'neutral': 0.67}
Date: 2024-11-25 | Time: 14:09:00 | Transition: fear -> fear | Duration: 0.97s | Scores: {'angry': 0.31, 'disgust': 0.06, 'fear': 0.13, 'happy': 0.34, 'sad': 0.11, 'surprise': 0.27, 'neutral': 0.16}
Date: 2024-11-25 | Time: 17:19:00 | Transition: disgust -> happy | Duration: 1.91s | Scores: {'angry': 0.14, 'disgust': 0.14, 'fear': 0.1, 'happy': 0.81, 'sad': 0.22, 'surprise': 0.88, 'neutral': 0.69}
Date: 2024-11-25 | Time: 17:46:00 | Transition: fear -> surprise | Duration: 1.01s | Scores: {'angry': 0.4, 'disgust': 0.12, 'fear': 0.21, 'happy': 0.71, 'sad': 0.18, 'surprise': 0.73, 'neutral': 0.65}
Date: 2024-11-25 | Time: 18:39:00 | Transition: fear -> neutral | Duration: 1.07s | Scores: {'angry': 0.14, 'disgust': 0.26, 'fear': 0.25, 'happy': 0.71, 'sad': 0.06, 'surprise': 0.78, 'neutral': 0.79}
Date: 2024-11-25 | Time: 19:45:00 | Transition: disgust -> neutral | Duration: 1.49s | Scores: {'angry': 0.28, 'disgust': 0.24, 'fear': 0.26, 'happy': 0.62, 'sad': 0.12, 'surprise': 0.67, 'neutral': 0.86}
Date: 2024-11-26 | Time: 01:30:00 | Transition: disgust -> neutral | Duration: 0.93s | Scores: {'angry': 0.35, 'disgust': 0.08, 'fear': 0.2, 'happy': 0.83, 'sad': 0.24, 'surprise': 0.65, 'neutral': 0.87}
Date: 2024-11-26 | Time: 03:28:00 | Transition: sad -> fear | Duration: 0.88s | Scores: {'angry': 0.31, 'disgust': 0.24, 'fear': 0.07, 'happy': 0.39, 'sad': 0.28, 'surprise': 0.09, 'neutral': 0.39}
Date: 2024-11-26 | Time: 03:31:00 | Transition: neutral -> angry | Duration: 1.1s | Scores: {'angry': 0.09, 'disgust': 0.15, 'fear': 0.16, 'happy': 0.33, 'sad': 0.11, 'surprise': 0.18, 'neutral': 0.36}
Date: 2024-11-26 | Time: 04:26:00 | Transition: neutral -> fear | Duration: 1.64s | Scores: {'angry': 0.25, 'disgust': 0.18, 'fear': 0.07, 'happy': 0.33, 'sad': 0.11, 'surprise': 0.26, 'neutral': 0.13}
Date: 2024-11-26 | Time: 07:59:00 | Transition: fear -> fear | Duration: 0.44s | Scores: {'angry': 0.32, 'disgust': 0.18, 'fear': 0.26, 'happy': 0.05, 'sad': 0.22, 'surprise': 0.39, 'neutral': 0.09}
Date: 2024-11-26 | Time: 12:13:00 | Transition: neutral -> neutral | Duration: 0.74s | Scores: {'angry': 0.12, 'disgust': 0.15, 'fear': 0.13, 'happy': 0.68, 'sad': 0.05, 'surprise': 0.52, 'neutral': 0.8}
Date: 2024-11-26 | Time: 14:20:00 | Transition: happy -> happy | Duration: 0.48s | Scores: {'angry': 0.16, 'disgust': 0.12, 'fear': 0.1, 'happy': 0.56, 'sad': 0.18, 'surprise': 0.51, 'neutral': 0.51}
Date: 2024-11-26 | Time: 16:10:00 | Transition: angry -> angry | Duration: 1.08s | Scores: {'angry': 0.16, 'disgust': 0.18, 'fear': 0.08, 'happy': 0.17, 'sad': 0.14, 'surprise': 0.36, 'neutral': 0.22}
Date: 2024-11-26 | Time: 16:12:00 | Transition: disgust -> disgust | Duration: 0.89s | Scores: {'angry': 0.15, 'disgust': 0.07, 'fear': 0.09, 'happy': 0.34, 'sad': 0.22, 'surprise': 0.34, 'neutral': 0.18}
Date: 2024-11-27 | Time: 02:21:00 | Transition: fear -> fear | Duration: 0.45s | Scores: {'angry': 0.09, 'disgust': 0.15, 'fear': 0.14, 'happy': 0.11, 'sad': 0.08, 'surprise': 0.38, 'neutral': 0.05}
Date: 2024-11-27 | Time: 03:31:00 | Transition: neutral -> neutral | Duration: 1.34s | Scores: {'angry': 0.4, 'disgust': 0.18, 'fear': 0.1, 'happy': 0.73, 'sad': 0.15, 'surprise': 0.87, 'neutral': 0.89}
Date: 2024-11-27 | Time: 03:34:00 | Transition: fear -> surprise | Duration: 0.36s | Scores: {'angry': 0.28, 'disgust': 0.1, 'fear': 0.28, 'happy': 0.82, 'sad': 0.09, 'surprise': 0.89, 'neutral': 0.68}
Date: 2024-11-27 | Time: 03:56:00 | Transition: fear -> surprise | Duration: 1.8s | Scores: {'angry': 0.1, 'disgust': 0.15, 'fear': 0.24, 'happy': 0.82, 'sad': 0.23, 'surprise': 0.58, 'neutral': 0.55}
Date: 2024-11-27 | Time: 05:02:00 | Transition: sad -> surprise | Duration: 1.13s | Scores: {'angry': 0.26, 'disgust': 0.16, 'fear': 0.18, 'happy': 0.52, 'sad': 0.05, 'surprise': 0.54, 'neutral': 0.62}
Date: 2024-11-27 | Time: 05:22:00 | Transition: angry -> surprise | Duration: 0.4s | Scores: {'angry': 0.2, 'disgust': 0.26, 'fear': 0.2, 'happy': 0.58, 'sad': 0.14, 'surprise': 0.84, 'neutral': 0.82}
Date: 2024-11-27 | Time: 14:07:00 | Transition: sad -> surprise | Duration: 0.25s | Scores: {'angry': 0.19, 'disgust': 0.15, 'fear': 0.14, 'happy': 0.74, 'sad': 0.05, 'surprise': 0.81, 'neutral': 0.81}
Date: 2024-11-27 | Time: 14:15:00 | Transition: neutral -> happy | Duration: 0.63s | Scores: {'angry': 0.26, 'disgust': 0.11, 'fear': 0.2, 'happy': 0.84, 'sad': 0.18, 'surprise': 0.68, 'neutral': 0.78}
Date: 2024-11-27 | Time: 18:34:00 | Transition: angry -> neutral | Duration: 1.87s | Scores: {'angry': 0.21, 'disgust': 0.06, 'fear': 0.26, 'happy': 0.77, 'sad': 0.12, 'surprise': 0.81, 'neutral': 0.65}
Date: 2024-11-27 | Time: 22:46:00 | Transition: happy -> surprise | Duration: 1.25s | Scores: {'angry': 0.26, 'disgust': 0.1, 'fear': 0.19, 'happy': 0.63, 'sad': 0.12, 'surprise': 0.55, 'neutral': 0.52}
Date: 2024-11-28 | Time: 00:00:00 | Transition: sad -> surprise | Duration: 1.2s | Scores: {'angry': 0.28, 'disgust': 0.24, 'fear': 0.23, 'happy': 0.66, 'sad': 0.09, 'surprise': 0.5, 'neutral': 0.69}
Date: 2024-11-28 | Time: 01:34:00 | Transition: disgust -> happy | Duration: 1.75s | Scores: {'angry': 0.31, 'disgust': 0.23, 'fear': 0.11, 'happy': 0.56, 'sad': 0.19, 'surprise': 0.62, 'neutral': 0.85}
Date: 2024-11-28 | Time: 03:58:00 | Transition: fear -> surprise | Duration: 0.27s | Scores: {'angry': 0.39, 'disgust': 0.19, 'fear': 0.1, 'happy': 0.58, 'sad': 0.16, 'surprise': 0.54, 'neutral': 0.9}
Date: 2024-11-28 | Time: 04:05:00 | Transition: happy -> surprise | Duration: 1.76s | Scores: {'angry': 0.07, 'disgust': 0.06, 'fear': 0.13, 'happy': 0.61, 'sad': 0.08, 'surprise': 0.56, 'neutral': 0.6}
Date: 2024-11-28 | Time: 09:46:00 | Transition: surprise -> happy | Duration: 0.43s | Scores: {'angry': 0.28, 'disgust': 0.08, 'fear': 0.15, 'happy': 0.62, 'sad': 0.13, 'surprise': 0.6, 'neutral': 0.74}
Date: 2024-11-28 | Time: 12:26:00 | Transition: neutral -> surprise | Duration: 1.9s | Scores: {'angry': 0.11, 'disgust': 0.19, 'fear': 0.12, 'happy': 0.73, 'sad': 0.21, 'surprise': 0.88, 'neutral': 0.55}
Date: 2024-11-28 | Time: 16:36:00 | Transition: disgust -> neutral | Duration: 0.39s | Scores: {'angry': 0.07, 'disgust': 0.24, 'fear': 0.12, 'happy': 0.5, 'sad': 0.08, 'surprise': 0.72, 'neutral': 0.77}
Date: 2024-11-28 | Time: 18:17:00 | Transition: angry -> surprise | Duration: 1.03s | Scores: {'angry': 0.07, 'disgust': 0.25, 'fear': 0.09, 'happy': 0.66, 'sad': 0.09, 'surprise': 0.52, 'neutral': 0.81}
Date: 2024-11-28 | Time: 20:08:00 | Transition: disgust -> happy | Duration: 1.31s | Scores: {'angry': 0.4, 'disgust': 0.17, 'fear': 0.3, 'happy': 0.58, 'sad': 0.16, 'surprise': 0.6, 'neutral': 0.73}
Date: 2024-11-28 | Time: 20:49:00 | Transition: happy -> neutral | Duration: 1.26s | Scores: {'angry': 0.13, 'disgust': 0.13, 'fear': 0.13, 'happy': 0.78, 'sad': 0.15, 'surprise': 0.66, 'neutral': 0.72}
Date: 2024-11-29 | Time: 09:55:00 | Transition: disgust -> surprise | Duration: 1.49s | Scores: {'angry': 0.09, 'disgust': 0.15, 'fear': 0.28, 'happy': 0.66, 'sad': 0.18, 'surprise': 0.51, 'neutral': 0.74}
Date: 2024-11-29 | Time: 12:53:00 | Transition: disgust -> surprise | Duration: 0.44s | Scores: {'angry': 0.38, 'disgust': 0.17, 'fear': 0.09, 'happy': 0.81, 'sad': 0.11, 'surprise': 0.58, 'neutral': 0.55}
Date: 2024-11-29 | Time: 14:00:00 | Transition: fear -> surprise | Duration: 0.92s | Scores: {'angry': 0.36, 'disgust': 0.07, 'fear': 0.18, 'happy': 0.68, 'sad': 0.18, 'surprise': 0.52, 'neutral': 0.68}
Date: 2024-11-29 | Time: 15:28:00 | Transition: sad -> happy | Duration: 0.81s | Scores: {'angry': 0.28, 'disgust': 0.28, 'fear': 0.11, 'happy': 0.52, 'sad': 0.22, 'surprise': 0.73, 'neutral': 0.74}
Date: 2024-11-30 | Time: 15:53:00 | Transition: disgust -> surprise | Duration: 1.65s | Scores: {'angry': 0.23, 'disgust': 0.25, 'fear': 0.13, 'happy': 0.71, 'sad': 0.28, 'surprise': 0.84, 'neutral': 0.68}
Date: 2024-11-30 | Time: 15:59:00 | Transition: angry -> surprise | Duration: 0.91s | Scores: {'angry': 0.36, 'disgust': 0.24, 'fear': 0.12, 'happy': 0.6, 'sad': 0.24, 'surprise': 0.78, 'neutral': 0.55}
Date: 2024-11-30 | Time: 20:53:00 | Transition: fear -> angry | Duration: 0.34s | Scores: {'angry': 0.05, 'disgust': 0.09, 'fear': 0.29, 'happy': 0.37, 'sad': 0.23, 'surprise': 0.32, 'neutral': 0.23}
Date: 2024-11-30 | Time: 23:14:00 | Transition: happy -> neutral | Duration: 0.59s | Scores: {'angry': 0.33, 'disgust': 0.17, 'fear': 0.27, 'happy': 0.9, 'sad': 0.24, 'surprise': 0.61, 'neutral': 0.72}
Date: 2024-11-30 | Time: 23:26:00 | Transition: angry -> neutral | Duration: 0.23s | Scores: {'angry': 0.06, 'disgust': 0.08, 'fear': 0.17, 'happy': 0.6, 'sad': 0.14, 'surprise': 0.53, 'neutral': 0.57}
Date: 2024-12-01 | Time: 01:47:00 | Transition: sad -> neutral | Duration: 1.9s | Scores: {'angry': 0.19, 'disgust': 0.26, 'fear': 0.07, 'happy': 0.7, 'sad': 0.11, 'surprise': 0.81, 'neutral': 0.64}
Date: 2024-12-01 | Time: 04:13:00 | Transition: sad -> happy | Duration: 0.77s | Scores: {'angry': 0.06, 'disgust': 0.05, 'fear': 0.2, 'happy': 0.9, 'sad': 0.2, 'surprise': 0.73, 'neutral': 0.76}
Date: 2024-12-01 | Time: 04:45:00 | Transition: disgust -> sad | Duration: 1.03s | Scores: {'angry': 0.31, 'disgust': 0.18, 'fear': 0.09, 'happy': 0.24, 'sad': 0.18, 'surprise': 0.24, 'neutral': 0.23}
Date: 2024-12-01 | Time: 07:46:00 | Transition: surprise -> surprise | Duration: 0.67s | Scores: {'angry': 0.06, 'disgust': 0.25, 'fear': 0.06, 'happy': 0.54, 'sad': 0.17, 'surprise': 0.53, 'neutral': 0.6}
Date: 2024-12-01 | Time: 09:55:00 | Transition: surprise -> surprise | Duration: 0.25s | Scores: {'angry': 0.09, 'disgust': 0.07, 'fear': 0.21, 'happy': 0.55, 'sad': 0.07, 'surprise': 0.86, 'neutral': 0.53}
Date: 2024-12-01 | Time: 11:57:00 | Transition: angry -> surprise | Duration: 0.27s | Scores: {'angry': 0.15, 'disgust': 0.26, 'fear': 0.12, 'happy': 0.74, 'sad': 0.18, 'surprise': 0.65, 'neutral': 0.74}
Date: 2024-12-01 | Time: 16:22:00 | Transition: neutral -> disgust | Duration: 1.13s | Scores: {'angry': 0.05, 'disgust': 0.29, 'fear': 0.25, 'happy': 0.27, 'sad': 0.08, 'surprise': 0.27, 'neutral': 0.33}
Date: 2024-12-01 | Time: 17:17:00 | Transition: happy -> neutral | Duration: 0.44s | Scores: {'angry': 0.4, 'disgust': 0.25, 'fear': 0.11, 'happy': 0.72, 'sad': 0.16, 'surprise': 0.78, 'neutral': 0.87}
Date: 2024-12-01 | Time: 20:34:00 | Transition: happy -> happy | Duration: 1.56s | Scores: {'angry': 0.37, 'disgust': 0.06, 'fear': 0.09, 'happy': 0.51, 'sad': 0.27, 'surprise': 0.73, 'neutral': 0.8}
Date: 2024-12-02 | Time: 02:20:00 | Transition: sad -> happy | Duration: 0.36s | Scores: {'angry': 0.29, 'disgust': 0.26, 'fear': 0.26, 'happy': 0.53, 'sad': 0.09, 'surprise': 0.63, 'neutral': 0.75}
Date: 2024-12-02 | Time: 04:05:00 | Transition: neutral -> surprise | Duration: 0.68s | Scores: {'angry': 0.16, 'disgust': 0.23, 'fear': 0.21, 'happy': 0.57, 'sad': 0.16, 'surprise': 0.86, 'neutral': 0.83}
Date: 2024-12-02 | Time: 05:45:00 | Transition: neutral -> sad | Duration: 1.57s | Scores: {'angry': 0.29, 'disgust': 0.23, 'fear': 0.15, 'happy': 0.3, 'sad': 0.28, 'surprise': 0.28, 'neutral': 0.38}
Date: 2024-12-02 | Time: 14:38:00 | Transition: angry -> neutral | Duration: 0.34s | Scores: {'angry': 0.34, 'disgust': 0.14, 'fear': 0.13, 'happy': 0.55, 'sad': 0.26, 'surprise': 0.51, 'neutral': 0.84}
Date: 2024-12-02 | Time: 19:29:00 | Transition: angry -> neutral | Duration: 0.89s | Scores: {'angry': 0.13, 'disgust': 0.12, 'fear': 0.12, 'happy': 0.65, 'sad': 0.07, 'surprise': 0.67, 'neutral': 0.68}
